Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
0_1,A,control,CWP,47,12.417,42.883,8.3,3.526,0.082,3.426,-0.018,7,0.792,6.708,0.5
0_2,A,control,CWP,35,0.417,30.883,-3.7,3.495,0.051,3.395,-0.049,7,0.792,6.708,0.5
0_4,A,control,CWP,31,-3.583,26.883,-7.7,3.585,0.141,3.485,0.041,6,-0.208,5.708,-0.5
1_2,A,control,CWP,38,3.417,33.883,-0.7,3.334,-0.11,3.234,-0.21,6,-0.208,5.708,-0.5
2_1,A,control,CWP,43,8.417,38.883,4.3,3.581,0.137,3.481,0.037,6,-0.208,5.708,-0.5
2.5_9,A,control,CWP,39,4.417,34.883,0.3,3.417,-0.027,3.317,-0.127,6,-0.208,5.708,-0.5
2.5_11,A,control,CWP,39,4.417,34.883,0.3,3.801,0.357,3.701,0.257,6,-0.208,5.708,-0.5
3_6,A,control,CWP,31,-3.583,26.883,-7.7,3.725,0.281,3.625,0.181,8,1.792,7.708,1.5
3.5_1,A,control,CWP,34,-0.583,29.883,-4.7,3.368,-0.076,3.268,-0.176,7,0.792,6.708,0.5
3.5_2,A,control,CWP,50,15.417,45.883,11.3,3.604,0.16,3.504,0.06,6,-0.208,5.708,-0.5
6_2,A,control,PP,41,7.333,37.667,4,3.665,0.222,3.659,0.216,6,-0.048,5.603,-0.444
7_3,A,control,PP,30,-3.667,26.667,-7,3.258,-0.185,3.252,-0.191,6,-0.048,5.603,-0.444
7_5,A,control,PP,33,-0.667,29.667,-4,3.399,-0.044,3.393,-0.05,6,-0.048,5.603,-0.444
7.5_4,A,control,PP,37,3.333,33.667,0,3.486,0.043,3.48,0.037,6,-0.048,5.603,-0.444
8.5_3,A,control,PP,34,0.333,30.667,-3,3.433,-0.01,3.427,-0.016,7,0.952,6.603,0.556
9_6,A,control,PP,38,4.333,34.667,1,3.582,0.139,3.576,0.133,7,0.952,6.603,0.556
9_20,A,control,PP,41,7.333,37.667,4,3.486,0.043,3.48,0.037,7,0.952,6.603,0.556
9.5_1,A,control,PP,45,11.333,41.667,8,3.244,-0.199,3.238,-0.205,7,0.952,6.603,0.556
9.5_3,A,control,PP,34,0.333,30.667,-3,3.488,0.045,3.482,0.039,6,-0.048,5.603,-0.444
12_3,A,control,EP,39,4.043,40.068,5.111,3.518,0.06,3.475,0.017,6,-0.217,5.773,-0.444
12_4,A,control,EP,32,-2.957,33.068,-1.889,3.4,-0.058,3.357,-0.101,7,0.783,6.773,0.556
12.5_1,A,control,EP,41,6.043,42.068,7.111,3.279,-0.179,3.236,-0.222,7,0.783,6.773,0.556
13_1,A,control,EP,31,-3.957,32.068,-2.889,3.594,0.136,3.551,0.093,6,-0.217,5.773,-0.444
13_2,A,control,EP,32,-2.957,33.068,-1.889,3.684,0.226,3.641,0.183,6,-0.217,5.773,-0.444
13_3,A,control,EP,43,8.043,44.068,9.111,3.483,0.025,3.44,-0.018,6,-0.217,5.773,-0.444
13.5_1,A,control,EP,23,-11.957,24.068,-10.889,3.388,-0.07,3.345,-0.113,7,0.783,6.773,0.556
14.5_1,A,control,EP,32,-2.957,33.068,-1.889,3.654,0.196,3.611,0.153,7,0.783,6.773,0.556
15.5_1,A,control,EP,32,-2.957,33.068,-1.889,3.509,0.051,3.466,0.008,6,-0.217,5.773,-0.444
0_2,A,HC,CWP,32,-2.583,27.883,-6.7,3.001,-0.443,2.901,-0.543,7,0.792,6.708,0.5
1_2,A,HC,CWP,22,-12.583,17.883,-16.7,3.296,-0.148,3.196,-0.248,10,3.792,9.708,3.5
2_1,A,HC,CWP,37,2.417,32.883,-1.7,,,,,9,2.792,8.708,2.5
2.5_9,A,HC,CWP,24,-10.583,19.883,-14.7,3.198,-0.246,3.098,-0.346,9,2.792,8.708,2.5
7_5,A,HC,PP,18,-15.667,14.667,-19,,,,,12,5.952,11.603,5.556
9.5_3,A,HC,PP,13,-20.667,9.667,-24,3.362,-0.081,3.356,-0.087,8,1.952,7.603,1.556
12_3,A,HC,EP,14,-20.957,15.068,-19.889,3.182,-0.276,3.139,-0.319,17,10.783,,
13_2,A,HC,EP,26,-8.957,27.068,-7.889,3.057,-0.401,3.014,-0.444,11,4.783,10.773,4.556
13_3,A,HC,EP,36,1.043,37.068,2.111,3.221,-0.237,3.178,-0.28,6,-0.217,5.773,-0.444
13.5_1,A,HC,EP,19,-15.957,20.068,-14.889,3.092,-0.366,3.049,-0.409,8,1.783,7.773,1.556
14.5_1,A,HC,EP,41,6.043,42.068,7.111,3.411,-0.047,3.368,-0.09,12,5.783,11.773,5.556
15.5_1,A,HC,EP,38,3.043,39.068,4.111,3.383,-0.075,3.34,-0.118,12,5.783,11.773,5.556
0_2,A,HAHC,CWP,60,25.417,55.883,21.3,3.476,0.032,3.376,-0.068,7,0.792,6.708,0.5
0_4,A,HAHC,CWP,41,6.417,36.883,2.3,3.854,0.41,3.754,0.31,9,2.792,8.708,2.5
2_1,A,HAHC,CWP,38,3.417,33.883,-0.7,3.28,-0.164,3.18,-0.264,7,0.792,6.708,0.5
2.5_11,A,HAHC,CWP,22,-12.583,17.883,-16.7,3.319,-0.125,3.219,-0.225,6,-0.208,5.708,-0.5
3_6,A,HAHC,CWP,48,13.417,43.883,9.3,3.52,0.076,3.42,-0.024,8,1.792,7.708,1.5
3.5_1,A,HAHC,CWP,33,-1.583,28.883,-5.7,3.613,0.169,3.513,0.069,14,7.792,,
3.5_2,A,HAHC,CWP,43,8.417,38.883,4.3,3.232,-0.212,3.132,-0.312,6,-0.208,5.708,-0.5
6_2,A,HAHC,PP,33,-0.667,29.667,-4,3.623,0.18,3.617,0.174,8,1.952,7.603,1.556
6_3,A,HAHC,PP,35,1.333,31.667,-2,3.462,0.019,3.456,0.013,9,2.952,8.603,2.556
7_3,A,HAHC,PP,29,-4.667,25.667,-8,3.304,-0.139,3.298,-0.145,6,-0.048,5.603,-0.444
7_5,A,HAHC,PP,41,7.333,37.667,4,3.378,-0.065,3.372,-0.071,6,-0.048,5.603,-0.444
9.5_3,A,HAHC,PP,35,1.333,31.667,-2,3.7,0.257,3.694,0.251,8,1.952,7.603,1.556
12_3,A,HAHC,EP,32,-2.957,33.068,-1.889,,,,,7,0.783,6.773,0.556
12.5_1,A,HAHC,EP,25,-9.957,,,3.555,0.097,3.512,0.054,11,4.783,,
13_1,A,HAHC,EP,30,-4.957,31.068,-3.889,3.46,0.002,3.417,-0.041,6,-0.217,5.773,-0.444
13_2,A,HAHC,EP,58,23.043,59.068,24.111,3.839,0.381,3.796,0.338,9,2.783,8.773,2.556
13_3,A,HAHC,EP,62,27.043,63.068,28.111,3.67,0.212,3.627,0.169,8,1.783,7.773,1.556
13.5_1,A,HAHC,EP,43,8.043,44.068,9.111,3.364,-0.094,3.321,-0.137,8,1.783,7.773,1.556
14.5_1,A,HAHC,EP,78,43.043,,,4.011,0.553,3.968,0.51,8,1.783,7.773,1.556
15.5_1,A,HAHC,EP,59,24.043,60.068,25.111,3.951,0.493,3.908,0.45,6,-0.217,5.773,-0.444
